itemId,modelId,skuId,itemName,modelName,skuPrice,CoGS
1432,1,1432_1,Item1432,Model1,256,163.7940263
1432,2,1432_2,Item1432,Model2,256,163.7940263
1432,3,1432_3,Item1432,Model3,256,163.7940263
1432,4,1432_4,Item1432,Model4,256,163.7940263
1772,1,1772_1,Item1772,Model1,256,160.2269764
1772,2,1772_2,Item1772,Model2,256,160.2269764
1772,3,1772_3,Item1772,Model3,256,160.2269764
1772,4,1772_4,Item1772,Model4,256,160.2269764
1560,1,1560_1,Item1560,Model1,512,347.9987089
1560,2,1560_2,Item1560,Model2,512,347.9987089
1560,3,1560_3,Item1560,Model3,512,347.9987089
1560,4,1560_4,Item1560,Model4,512,347.9987089
1009,1,1009_1,Item1009,Model1,257,177.480581
1009,2,1009_2,Item1009,Model2,257,177.480581
1009,3,1009_3,Item1009,Model3,257,177.480581
1009,4,1009_4,Item1009,Model4,257,177.480581
1276,1,1276_1,Item1276,Model1,257,174.5535091
1276,2,1276_2,Item1276,Model2,257,174.5535091
1276,3,1276_3,Item1276,Model3,257,174.5535091
1276,4,1276_4,Item1276,Model4,257,174.5535091
1362,1,1362_1,Item1362,Model1,257,202.2578106
1362,2,1362_2,Item1362,Model2,257,202.2578106
1362,3,1362_3,Item1362,Model3,257,202.2578106
1362,4,1362_4,Item1362,Model4,257,202.2578106
1368,1,1368_1,Item1368,Model1,257,168.5333857
1368,2,1368_2,Item1368,Model2,257,168.5333857
1368,3,1368_3,Item1368,Model3,257,168.5333857
1368,4,1368_4,Item1368,Model4,257,168.5333857
1448,1,1448_1,Item1448,Model1,257,163.1458173
1448,2,1448_2,Item1448,Model2,257,163.1458173
1448,3,1448_3,Item1448,Model3,257,163.1458173
1448,4,1448_4,Item1448,Model4,257,163.1458173
1458,1,1458_1,Item1458,Model1,257,197.3422466
1458,2,1458_2,Item1458,Model2,257,197.3422466
1458,3,1458_3,Item1458,Model3,257,197.3422466
1458,4,1458_4,Item1458,Model4,257,197.3422466
1183,1,1183_1,Item1183,Model1,769,574.6906637
1183,2,1183_2,Item1183,Model2,769,574.6906637
1183,3,1183_3,Item1183,Model3,769,574.6906637
1183,4,1183_4,Item1183,Model4,769,574.6906637
1212,1,1212_1,Item1212,Model1,769,501.2778952
1212,2,1212_2,Item1212,Model2,769,501.2778952
1212,3,1212_3,Item1212,Model3,769,501.2778952
1212,4,1212_4,Item1212,Model4,769,501.2778952
1343,1,1343_1,Item1343,Model1,769,501.7668437
1343,2,1343_2,Item1343,Model2,769,501.7668437
1343,3,1343_3,Item1343,Model3,769,501.7668437
1343,4,1343_4,Item1343,Model4,769,501.7668437
1618,1,1618_1,Item1618,Model1,769,463.5977985
1618,2,1618_2,Item1618,Model2,769,463.5977985
1618,3,1618_3,Item1618,Model3,769,463.5977985
1618,4,1618_4,Item1618,Model4,769,463.5977985
1193,1,1193_1,Item1193,Model1,258,200.023726
1193,2,1193_2,Item1193,Model2,258,200.023726
1193,3,1193_3,Item1193,Model3,258,200.023726
